Project,
Magnetic Levitator,Michigan
Particle Sensor Ziggy KSL,
Audio Prosthesis MEMS,
Stepper Motor Control,
Sensor fusion,
Inverted Pendulum,
,
Image Segmentation,Paper
Network Theory Thesis,
,
Drone 3D printed,DIY
ArduBoy Snake Frogger Tetris,
BART Display,
Preliminary Stages Rental Dashboard,
Lease producer Dashboard,
Stevick Projects Website,
,
Hacked Temperature Controller,Clarity
Humidity Control Chamber and Dashboard,
Calibration Jig and Dashboard,
Life-Time Analysis Dust Chambers,
,
Voltage Regulator with Screen,MAK3PCB
,
CAD of Twist Top Case,Mechanical